COUNTY,Lat,Lng,% Rural,% Urban,Rural POP,Urban POP,Total POP,Number of Poor Individuals 2005/06 (KIHBS),Poverty Rate
Baringo,0.512912,35.952537,0.89,0.11,494010,61551,555561,330222,0.59
Bomet,-0.690131,35.278005,0.85,0.15,759580,132255,891835,341053,0.51
Bungoma,0.737046,34.672536,0.78,0.22,1076367,298696,1375063,737571,0.52
Busia,0.428414,34.210571,0.84,0.16,621756,122190,743946,518951,0.66
Elgeyo Marakwet,0.806011,35.564093,0.86,0.14,316812,53186,369998,205282,0.55
Embu,-0.5982,37.653906,0.84,0.16,433291,82921,516212,233828,0.41
Garissa,-0.564679,40.408457,0.77,0.24,476392,146668,623060,217305,0.55
Homa Bay,-0.640985,34.411083,0.86,0.14,825743,138051,963794,374859,0.43
Isiolo,0.949302,38.614718,0.57,0.44,80920,62374,143294,71729,0.63
Kajiado,-2.221971,36.980268,0.59,0.41,402450,284862,687312,58803,0.12
Kakamega,0.308499,34.654844,0.85,0.15,1408040,252611,1660651,793302,0.52
Kericho,-0.297842,35.319833,0.61,0.39,362372,228318,590690,266367,0.39
Kiambu,-1.060698,36.79929,0.39,0.61,656309,1017476,1673785,386258,0.25
Kilifi,-3.279972,39.63501,0.74,0.26,824253,285482,1109735,663309,0.67
Kirinyaga,-0.517766,37.302006,0.84,0.16,444650,83404,528054,138675,0.26
Kisii,-0.782524,34.766895,0.79,0.22,991840,271719,1263559,627423,0.60
Kisumu,-0.167225,34.953647,0.48,0.52,461189,507720,968909,447946,0.45
Kitui,-1.519146,38.376101,0.86,0.14,872800,139909,1012709,641371,0.63
Kwale ,-4.242667,39.174233,0.82,0.18,532255,117676,649931,535821,0.73
Laikipia,0.311627,36.814178,0.75,0.25,300110,99117,399227,203945,0.48
Lamu,-2.03752,40.688214,0.80,0.20,81301,20238,101539,24664,0.31
Machakos,-1.327138,37.352277,0.48,0.52,527229,571355,1098584,685222,0.57
Makueni,-2.211917,37.865047,0.88,0.12,780230,104297,884527,631865,0.64
Mandera,3.46712,40.704671,0.82,0.18,840188,185568,1025756,273227,0.86
Marsabit,2.772167,37.76822,0.78,0.22,227157,64009,291166,171250,0.79
Meru,0.159398,37.750761,0.88,0.12,1401036,190497,1591533,365219,0.28
Migori,-1.008592,34.42681,0.66,0.34,605658,311512,917170,349238,0.46
Mombasa,-3.998813,39.632129,0.00,1.00,,939370,939370,335150,0.38
Murang'a,-0.804314,37.035566,0.84,0.16,746876,145202,892078,311699,0.31
Nairobi,-1.296975,36.844534,0.00,1.00,,3138369,3138369,618464,0.22
Nakuru,-0.385212,36.036261,0.54,0.46,868300,735025,1603325,556168,0.42
Nandi,0.143371,35.156125,0.86,0.14,650684,102281,752965,364000,0.47
Narok,-1.227452,35.686784,0.93,0.07,792426,58494,850920,226406,0.34
Nyamira,-0.644917,34.955612,0.86,0.14,418672,68303,486975,264465,0.46
Nyandarua,-0.374727,36.494076,0.82,0.19,485750,110518,596268,269719,0.50
Nyeri,-0.407168,36.965186,0.76,0.25,523941,169617,693558,245077,0.32
Samburu,1.183862,37.184377,0.83,0.17,185283,38664,223947,154808,0.78
Siaya,0.070277,34.293463,0.89,0.11,751677,90627,842304,286615,0.36
Taita Taveta,-3.551502,38.376101,0.77,0.23,220368,64289,284657,168240,0.55
Tana River,-1.584971,39.536272,0.85,0.15,204010,36065,240075,206494,0.75
Tharaka Nithi,-0.227324,37.882411,0.93,0.07,121563,8535,130098,136688,0.37
Trans Nzoia,1.030597,34.949297,0.80,0.20,651337,167420,818757,441008,0.50
Turkana,3.318344,35.401457,0.86,0.14,733680,121719,855399,500662,0.93
Uasin Gishu,0.555288,35.306307,0.61,0.39,548620,345559,894179,339638,0.45
Vihiga,0.304142,34.943582,0.69,0.31,380517,174105,554622,255639,0.41
Wajir,1.895541,40.07933,0.85,0.15,565086,96855,661941,328024,0.84
West Pokot,1.575837,35.316901,0.92,0.08,469994,42696,512690,258873,0.69
