Water Level Data of : Nagalapuram-alt
State :Andhra Pradesh
District :Chittoor
Block :Nagalapuram
Lattitude(DD):13.3875
Longitude(DD):79.80083333
Unit:All values are in mbgl
Period : 1996-2007 
WLCODE,YEAR_OBS,January(POSTMONSOONRABI),Mar/Apr/May(PREMONSOON),August(MONSOON),November(POSTMONSOONKHARIF)
W04611,1996,2.18,2.84,1.59,1.9
W04611,1997,1.91,4.9,2.77,1.76
W04611,1998,2.05,2.6,2.08,2.32
W04611,1999,2.9,2.72,3.45,2.68
W04611,2000,2.85,null,3.35,3.65
W04611,2001,6.23,5.1000000000000005,5.1000000000000005,2.7
W04611,2002,2.24,2.76,3.28,1.62
W04611,2003,2.61,4.45,4.1,3.12
W04611,2004,4.8,5.1000000000000005,5.1000000000000005,3.41
W04611,2005,3.9,5.7,5.7,1.75
W04611,2006,2.1,3.87,5.1000000000000005,4.44
W04611,2007,3.4,5.1000000000000005,null,null
